股票代號,股票名稱,收盤價,月平均價
"03520P","聯發科富邦25售08","0.69","0.68"
"03521P","臺股指富邦25售03","0.99","1.00"
"03522P","中興電永豐24售01","1.17","1.20"
"03523P","瑞昱永豐24售01","0.93","0.99"
"03524P","長榮航永豐24售01","","1.56"
"03525P","欣興永豐24售02","0.49","0.51"
"03528P","元石油國票26售01","0.84","0.88"
"03531P","華航國票26售02","2.30","2.38"
"03533P","京鼎國票24售01","1.07","1.21"
"03534P","台積電元大24售33","0.95","0.90"
"03535P","創意國票25售01","1.30","1.50"
"03537P","亞德客群益24售01","0.30","0.33"
"03540P","長榮航群益26售02","2.76","2.96"
"03546P","祥碩群益26售01","0.99","0.98"
"03547P","臺股指群益24售09","","1.96"
"03548P","臺股指群益24售10","1.38","1.38"
"03550P","長榮航中信24售02","0.64","0.71"
"03551P","嘉澤中信24售01","0.70","0.71"
"03552P","陽明國泰26售01","","1.73"
"03553B","臺股指元大23熊07","5.85","5.79"
"03553P","長榮航國泰26售01","2.05","2.25"
"03554B","臺股指元大25熊07","","6.35"
"03554P","國泰金康和24售02","1.12","1.12"
"03555B","臺股指凱基1B熊27","","5.00"
"03555P","開發金康和25售01","0.61","0.66"
"03557B","臺股指元大1C熊20","","5.75"
"03557P","瑞昱元富24售01","1.47","1.55"
"03558P","儒鴻麥證24售01","1.05","1.06"
"03559P","國泰金麥證24售01","2.16","2.33"
"03560B","臺股指凱基23熊17","","5.40"
